Time [s],Channel 1,Channel 2,Channel 4
6.073706000,1,1,1
6.073706250,0,1,0
6.073706625,0,1,1
6.073706875,0,1,0
6.073708125,0,1,1
6.073708375,0,1,0
6.073708875,0,1,1
6.073709125,0,1,0
6.073709625,0,1,1
6.073709875,1,1,0
6.073710250,1,1,1
6.073710500,0,1,0
6.073711250,0,1,1
6.073711500,1,1,0
6.073711875,1,1,1
6.073712125,1,1,0
6.073712625,1,1,1
6.073712875,1,1,0
6.073713375,1,1,1
6.073713625,0,1,0
6.073714875,0,1,1
6.073715125,0,1,0
6.073715500,0,1,1
6.073715750,0,1,0
6.073716250,0,1,1
6.073716500,1,1,0
6.073716875,1,1,1
6.073717125,1,1,0
6.073717875,1,1,1
6.073718125,0,1,0
6.073718625,0,1,1
6.073718875,0,1,0
6.073719375,0,1,1
6.073719625,0,1,0
6.073720000,0,1,1
6.073720250,0,1,0
6.073721500,0,1,1
6.073721750,0,1,0
6.073722125,0,1,1
6.073722375,0,1,0
6.073722875,0,1,1
6.073723125,1,1,0
6.073723625,1,1,1
6.073723875,1,1,0
6.073724625,1,1,1
6.073724875,0,1,0
6.073725250,0,1,1
6.073725500,0,1,0
6.073726000,0,1,1
6.073726250,1,1,0
6.073726625,1,1,1
6.073726875,0,1,0
6.073728125,0,1,1
6.073728375,0,1,0
6.073728875,0,1,1
6.073729125,0,1,0
6.073729625,0,1,1
6.073729875,1,1,0
6.073730250,1,1,1
6.073730500,1,1,0
6.073731250,1,1,1
6.073731500,0,1,0
6.073731875,0,1,1
6.073732125,1,1,0
6.073732625,1,1,1
6.073732875,0,1,0
6.073733375,0,1,1
6.073733625,0,1,0
6.073739875,0,1,1
6.073740125,0,1,0
6.073740625,0,1,1
6.073740875,0,1,0
6.073741375,0,1,1
6.073741625,1,1,0
6.073742000,1,1,1
6.073742250,1,1,0
6.073743000,1,1,1
6.073743250,0,1,0
6.073743625,0,1,1
6.073743875,1,1,0
6.073744375,1,1,1
6.073744625,1,1,0
6.073745125,1,1,1
6.073745375,0,1,0
6.073863500,1,1,0
6.074091000,1,1,1
6.074091250,1,1,0
6.074091750,1,1,1
6.074092000,1,1,0
6.074092500,1,1,1
6.074092750,1,1,0
6.074093125,1,1,1
6.074093375,1,1,0
6.074094125,1,1,1
6.074094375,1,1,0
6.074094750,1,1,1
6.074095000,1,1,0
6.074095500,1,1,1
6.074095750,1,1,0
6.074096250,1,1,1
6.074096500,1,1,0
6.074097750,1,1,1
6.074098000,1,1,0
6.074098375,1,1,1
6.074098625,1,1,0
6.074099125,1,1,1
6.074099375,1,1,0
6.074099750,1,1,1
6.074100000,1,1,0
6.074100750,1,1,1
6.074101000,1,1,0
6.074101500,1,1,1
6.074101750,1,1,0
6.074102250,1,1,1
6.074102500,1,1,0
6.074102875,1,1,1
6.074103125,1,1,0
6.074104375,1,1,1
6.074104625,1,1,0
6.074105000,1,1,1
6.074105250,1,1,0
6.074105750,1,1,1
6.074106000,1,1,0
6.074106500,1,1,1
6.074106750,1,1,0
6.074107500,1,1,1
6.074107750,1,1,0
6.074108125,1,1,1
6.074108375,1,1,0
6.074108875,1,1,1
6.074109125,1,1,0
6.074109500,1,1,1
6.074109750,1,1,0
6.074111000,1,1,1
6.074111250,1,1,0
6.074111750,1,1,1
6.074112000,1,1,0
6.074112500,1,1,1
6.074112750,1,1,0
6.074113125,1,1,1
6.074113375,1,1,0
6.074114125,1,1,1
6.074114375,1,1,0
6.074114750,1,1,1
6.074115000,1,1,0
6.074115500,1,1,1
6.074115750,1,1,0
6.074116250,0,1,1
6.074116500,0,1,0
6.074117750,0,1,1
6.074118000,0,1,0
6.074118375,0,1,1
6.074118625,0,1,0
6.074119125,0,1,1
6.074119375,1,1,0
6.074119750,1,1,1
6.074120000,1,1,0
6.074120750,1,1,1
6.074121000,1,1,0
6.074121500,1,1,1
6.074121750,0,1,0
6.074122250,0,1,1
6.074122500,0,1,0
6.074122875,0,1,1
6.074123125,0,1,0
6.074124375,0,1,1
6.074124625,0,1,0
6.074125000,0,1,1
6.074125250,0,1,0
6.074125750,0,1,1
6.074126000,1,1,0
6.074126500,1,1,1
6.074126750,1,1,0
6.074127500,1,1,1
6.074127750,1,1,0
6.074128125,1,1,1
6.074128375,0,1,0
6.074128875,0,1,1
6.074129125,1,1,0
6.074129500,1,1,1
6.074129750,0,1,0
6.074131000,0,1,1
6.074131250,0,1,0
6.074131750,0,1,1
6.074132000,0,1,0
6.074132500,0,1,1
6.074132750,1,1,0
6.074133125,1,1,1
6.074133375,1,1,0
6.074134125,1,1,1
6.074134375,1,1,0
6.074134750,1,1,1
6.074135000,1,1,0
6.074135500,1,1,1
6.074135750,0,1,0
6.074136250,0,1,1
6.074136500,0,1,0
6.074137750,0,1,1
6.074138000,0,1,0
6.074138375,0,1,1
6.074138625,0,1,0
6.074139125,0,1,1
6.074139375,1,1,0
6.074139750,1,1,1
6.074140000,1,1,0
6.074140750,1,1,1
6.074141000,1,1,0
6.074141500,1,1,1
6.074141750,1,1,0
6.074142250,1,1,1
6.074142500,1,1,0
6.074142875,1,1,1
6.074143125,1,1,0
6.074828500,1,1,1
6.074828750,1,1,0
6.074829250,1,1,1
6.074829500,1,1,0
6.074830000,1,1,1
6.074830250,1,1,0
6.074830625,1,1,1
6.074830875,1,1,0
6.074831625,1,1,1
6.074831875,1,1,0
6.074832250,1,1,1
6.074832500,1,1,0
6.074833000,1,1,1
6.074833250,1,1,0
6.074833750,1,1,1
6.074834000,1,1,0
6.075509000,1,1,1
6.075509250,1,1,0
6.075509625,1,1,1
6.075509875,1,1,0
6.075510375,1,1,1
6.075510625,1,1,0
6.075511125,1,1,1
6.075511375,1,1,0
6.075512125,1,1,1
6.075512375,1,1,0
6.075512750,1,1,1
6.075513000,1,1,0
6.075513500,1,1,1
6.075513750,1,1,0
6.075514125,0,1,1
6.075514375,0,1,0
6.075515625,0,1,1
6.075515875,0,1,0
6.075516375,0,1,1
6.075516625,0,1,0
6.075517125,0,1,1
6.075517375,0,1,0
6.075517750,0,1,1
6.075518000,0,1,0
6.075518750,0,1,1
6.075519000,0,1,0
6.075519375,0,1,1
6.075519625,1,1,0
6.075520125,1,1,1
6.075520375,0,1,0
6.075520875,0,1,1
6.075521125,0,1,0
6.075643500,1,1,0
6.075902250,1,1,1
6.075902500,1,1,0
6.075902875,1,1,1
6.075903125,1,1,0
6.075903625,1,1,1
6.075903875,1,1,0
6.075904375,1,1,1
6.075904625,1,1,0
6.075905375,1,1,1
6.075905625,1,1,0
6.075906000,1,1,1
6.075906250,1,1,0
6.075906750,1,1,1
6.075907000,1,1,0
6.075907375,1,1,1
6.075907625,1,1,0
6.075908875,1,1,1
6.075909125,1,1,0
6.075909625,1,1,1
6.075909875,1,1,0
6.075910375,1,1,1
6.075910625,1,1,0
6.075911000,1,1,1
6.075911250,1,1,0
6.075912000,1,1,1
6.075912250,1,1,0
6.075912625,1,1,1
6.075912875,1,1,0
6.075913375,1,1,1
6.075913625,1,1,0
6.075914125,1,1,1
6.075914375,1,1,0
6.075915625,1,1,1
6.075915875,1,1,0
6.075916250,1,1,1
6.075916500,1,1,0
6.075917000,1,1,1
6.075917250,1,1,0
6.075917625,1,1,1
6.075917875,1,1,0
6.075918625,1,1,1
6.075918875,1,1,0
6.075919375,1,1,1
6.075919625,1,1,0
6.075920125,1,1,1
6.075920375,1,1,0
6.075920750,1,1,1
6.075921000,1,1,0
6.075922250,1,1,1
6.075922500,1,1,0
6.075922875,1,1,1
6.075923125,1,1,0
6.075923625,1,1,1
6.075923875,1,1,0
6.075924375,1,1,1
6.075924625,1,1,0
6.075925375,1,1,1
6.075925625,1,1,0
6.075926000,1,1,1
6.075926250,1,1,0
6.075926750,1,1,1
6.075927000,1,1,0
6.075927375,1,1,1
